Time (UTC),1h Forward Return,1d Forward Return,7d Forward Return
2025-11-09 12:00,-0.00142,0.037899,-0.067252
2025-11-09 13:00,0.008115,0.037078,-0.064642
2025-11-09 14:00,0.001105,0.034655,-0.076126
2025-11-09 15:00,0.007019,0.017862,-0.076047
2025-11-09 16:00,0.000791,0.012477,-0.093316
2025-11-09 17:00,-0.002009,0.01318,-0.097698
2025-11-09 18:00,0.008495,0.022072,-0.094205
2025-11-09 19:00,0.002792,0.009059,-0.105999
2025-11-09 20:00,-0.001681,0.009483,-0.109052
2025-11-09 21:00,-0.000997,0.012963,-0.106567
